group,url
G-90,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp006
Least-developed countries (LDCs),https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp007
Article XII Members,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp011
“W52” sponsors,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp025
ACP,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp001
African group,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp002
"Small, vulnerable economies (SVEs)",https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp009
G-33,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp017
Mercosur,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp005
Cairns group,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp013
G-20,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp016
NAMA-11,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp019
Friends of Fish (FoFs),https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp024
Joint proposal (in intellectual property),https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp026
Low-income economies in transition,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp012
APEC,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp003
Friends of Ambition (NAMA),https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp021
Asian developing members,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp002b
Cotton-4,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp018
Tropical products,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp014
Friends of A-D Negotiations (FANs),https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp023
ASEAN,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp003b
Paragraph 6 countries,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp020
Pacific Group,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp027
G-10,https://www.wto.org/english/tratop_e/dda_e/negotiating_groups_e.htm#grp015
